,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
Bach2,tfdimers__MD00569,0.10398378477980467,3.876333441093245,6.2563e-06,0.900119,motif similar to tfdimers__MD00162 ('M01721_forward_3_M00983_forward dimer: PUR1 / MAF'; q-value = 6.26e-06) which is annotated for orthologous gene ENSG00000112182 in H. sapiens (identity = 90%),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'weight>75.0%', 'activating'})","[('Yes1', 4.096288546632193), ('Satb1', 5.001948244444754), ('Nr3c2', 6.211289871144061), ('Hivep2', 2.994153123408938), ('Clock', 1.0100956902277891), ('Pou2f1', 0.8689154621779529), ('Zfyve9', 5.122199373604116), ('Tanc2', 2.104693966298893), ('Phf21a', 1.5281861066433915), ('Gphn', 1.5211038256456857), ('Epb41l3', 2.346272580207589), ('Mef2a', 2.096997188822593), ('Ptpn4', 1.7687948831715836), ('Bbx', 3.836855170826575), ('Mtmr3', 1.215642219723077), ('Mpdz', 1.1398632361951642), ('4930595D18Rik', 1.791374063849555), ('Ccser1', 6.694363553103356), ('Mctp1', 3.4247577232231783), ('Bmpr1a', 1.368911262709505), ('Pias1', 1.4731260282437597), ('Basp1', 4.210092260615902), ('Ccnd2', 1.1360699487974486), ('Ikzf1', 5.415035475258319), ('Msi2', 10.473904393365643), ('Mbnl3', 1.617490172406889), ('Sh3rf1', 2.217226291631005), ('Rora', 1.28577440777407), ('Syne2', 6.856398348046847), ('Eps8', 1.5298191192301291), ('Rnf220', 3.439846117268169), ('Camk2d', 3.062510190793528), ('Sema3d', 1.711604758306467), ('B3glct', 2.3775927701449757), ('Sipa1l1', 1.8723368834629424), ('1700025G04Rik', 1.6455884697198733), ('L3mbtl3', 2.5417523317595214), ('Mllt3', 1.5041902052998903), ('Elovl7', 2.890422227040009), ('Peak1', 3.1907422749732475), ('Tox', 3.824448111528101), ('Ppp1r9a', 3.672221435547172), ('Runx2', 8.66834641481399), ('Gm10125', 1.3687993162497336), ('Map3k3', 3.2592168566825603), ('Zc3h12b', 1.0975841904543275), ('Hmgcs1', 1.3192428155483371), ('Zeb1', 0.9555983678698772), ('Ldlrad4', 3.728858492279031), ('Alcam', 12.44935100729691), ('Chl1', 0.9579496460861242), ('Tc2n', 1.159512413033394), ('Arpp21', 1.0480512855667603), ('Scaf11', 0.943939847763372), ('Bend7', 3.8826840374483096), ('Pawr', 1.2475084352429031), ('Zfp532', 1.6258779016280025), ('Plxdc2', 0.9883506558970744), ('Tfrc', 1.42571677451919), ('Ankrd28', 0.978068373543579), ('Slf1', 0.950832657912257), ('Patj', 1.0391900911858505), ('Mecom', 6.628945280267253), ('Rai14', 6.355806145120606), ('Gm11837', 1.0916626982727204), ('Zfp521', 4.637239932901337), ('Ccdc171', 1.3135635110583208), ('Rnf217', 1.0890389492981922), ('Luzp1', 1.1890768311947266), ('Large1', 8.411324186779272), ('Gpd2', 1.1637439126453162), ('Elovl6', 1.1964741800908656), ('Plcl1', 10.906205163895148), ('Snx13', 1.3958882635205063), ('Il6st', 13.84760851050587), ('Robo2', 1.1806217752850436), ('Rundc3b', 1.9064543958445064), ('Cd2ap', 11.807675342683796), ('Rap1gds1', 1.5247656828845786), ('Adgrg6', 1.5591200571252155), ('Magi1', 0.9769264353815508), ('Glis3', 1.3089962248078486), ('Arid5b', 1.598103376664575), ('Mboat2', 1.9582342822141363), ('Trib2', 0.8733951314366991), ('March3', 3.426562433927009), ('Frmd6', 2.045439013712232), ('Plxna4', 0.9500267249112236), ('Klf8', 1.1142283938772777), ('Znrf3', 1.75354325800647), ('Rel', 2.0617418935439957), ('Clcn5', 3.798583070188268), ('Stk33', 1.3696041895836075), ('Lncpint', 1.5041436857353687), ('Simc1', 3.63289877347604), ('Setbp1', 2.951787743482715), ('Shroom4', 1.082427764312775), ('Trim59', 0.8882610483346773), ('Adgrg2', 2.3211020619322524), ('Ntn4', 1.2568564743205215), ('Magi2', 1.9199883506952449), ('Ptprk', 2.675736299285287), ('Meg3', 2.5696389883310164), ('Cdyl2', 1.4657127797836589), ('Ppm1h', 6.983136433413876), ('Wdr17', 1.829745553727777), ('Nfat5', 1.0103398730536788), ('Sox6', 3.579884005833391), ('Socs2', 3.618507117872862), ('Il15', 4.315492374876853), ('Mtus2', 5.254214323296472), ('Sbf2', 1.7318620495424049), ('Csrp2', 0.9447185566151448), ('Phactr1', 1.4707182466990627), ('Ncoa1', 2.393848908170856), ('Zfp608', 5.209965166083468), ('Pde3b', 0.9235510498606904), ('Maml3', 2.979631703766251), ('Nrg2', 1.1100097655979877), ('Aff3', 1.6477446644560398), ('Herc3', 1.215251469465005), ('Sox4', 3.140601963318521), ('Lancl3', 6.362010512769617), ('Tshz3', 2.5368339606935844), ('Tbc1d4', 1.0024646438413054), ('Ar', 0.9040075319264268), ('Fgf13', 0.9600965105719992), ('Srebf2', 1.0553482013104147), ('Zfp827', 0.8892722418200735), ('Robo1', 1.006243451132729), ('Srgap1', 1.7664242646561383), ('Stk39', 2.632469778290344), ('Airn', 2.306560574838844), ('4933406I18Rik', 4.2133517707215855), ('Fmnl2', 1.120999375183847), ('Cobll1', 21.518791134792764), ('Plcl2', 0.8786057537622634), ('E2f3', 0.9062480004477516), ('Mboat1', 2.276817112530477), ('Atg10', 1.888979754530113), ('Map3k1', 4.323065159077726), ('Adarb1', 3.1266346529306994), ('Fkbp5', 1.9415077905901224), ('Crispld1', 1.6629444779792195), ('Rbpms', 1.937338764017264), ('Gm16070', 4.207989439705217), ('Evi5', 1.2755879646492905), ('Cep55', 1.5042359520514166), ('Zfp248', 6.522586682386526), ('Pclo', 2.073637587679319), ('Zfp800', 4.082831960322597), ('Chd3', 7.135577554937235), ('Nab1', 0.9099702656500678), ('Cnn3', 8.957212899204583), ('Nrp1', 3.1615139880772496), ('Slc24a2', 2.508458136519965), ('Them7', 0.9419041513593192), ('Pkib', 2.419267895779458), ('Malt1', 4.610042225095228), ('Pag1', 3.1063826216608024), ('Dtx4', 0.965021031712973), ('Dixdc1', 0.8916614914463437), ('Elmo1', 4.782949078996395), ('Itsn1', 2.3322255610695675), ('Exo1', 1.9499546120208031), ('Samd4b', 2.580078958452554), ('Rbm47', 7.198166131659186), ('Tcf4', 4.505138487050008), ('Myo5a', 2.9547960285729045), ('Pim1', 2.884737523967861), ('Tcf7l1', 1.0863958224342356), ('Ccdc68', 2.680926049347919), ('Shtn1', 3.2421726985886243), ('Nf2', 1.3948538243377715), ('Lsp1', 8.898193116105478), ('Cpeb4', 3.683132944362804), ('Fgd4', 2.8779210568599343), ('Emb', 0.9957880701874764), ('Tdrd3', 1.4572107800637308), ('Fancc', 1.3298269244894187), ('Nasp', 1.384197035499521), ('Kcnip3', 7.82201637678924), ('Lpp', 3.580553110658228), ('Tmem108', 1.135249434105724), ('Adam22', 1.4048057227876805), ('Tcf7l2', 1.53089727628114), ('Zfp367', 1.7097044550423306), ('Lcp1', 1.4915324427814387), ('Slc16a12', 1.535537139608279), ('Camsap2', 1.0029563852317191), ('Slc9a7', 2.3430820409120665), ('Ezh1', 1.40208085151938), ('Stau2', 4.23967854686286), ('Ptms', 1.29797708331617), ('Ror2', 4.3714780684539525), ('Slc25a21', 1.3213320160440143), ('Cdk14', 3.175736990265396), ('Meis2', 1.0090567860808657), ('Acvr2a', 3.295263590649673), ('Pde8a', 2.3034649935744), ('Rnf157', 1.128805908183445), ('Mast2', 2.840938797499432), ('Gnptab', 2.7610493246010765), ('Med13l', 2.939415467925091), ('Prim2', 1.2028392189846246), ('Paip2b', 0.931674440729673), ('Prdm5', 0.8900054073386878), ('Parp8', 0.9679014832587102), ('Stat2', 1.5467708802366618), ('Caprin2', 1.7895641015570878), ('Phactr2', 1.3273051734114707), ('Galc', 2.47286913160202), ('Sybu', 1.0449209670472204), ('Myof', 2.1009680313793275), ('9530026P05Rik', 8.865652903006357), ('Fchsd2', 7.693698038700946), ('Prex2', 3.0018362551303035), ('Dpysl3', 0.8404511292170552), ('Rgs7bp', 4.068322132356801), ('Hgf', 3.915124227368035), ('Palld', 2.877666736662283), ('St8sia4', 2.315480925199105), ('Bin1', 1.3813368161049226), ('Plekha7', 3.090281750427176), ('Irf8', 10.601767920219231), ('Hdac9', 1.5560451585632435), ('Ptpn3', 1.841211077030595), ('Evl', 0.9430027081081382), ('Hivep3', 1.2623385656602573), ('Lrch1', 4.117739278014866), ('Dock9', 1.5499100165622184), ('Atp10a', 1.815839494493168), ('Sntb2', 1.1778446614914324), ('Hip1', 1.173394257083686), ('Vopp1', 1.4619735685372457), ('Pkia', 0.9525224680949932), ('Lef1', 2.1647539464139145), ('Dpp6', 1.1021712508646937)]",4896
Bach2,tfdimers__MD00368,0.0937129168969965,3.198153059953894,3.63691e-06,0.900119,motif similar to tfdimers__MD00162 ('M01721_forward_3_M00983_forward dimer: PUR1 / MAF'; q-value = 3.64e-06) which is annotated for orthologous gene ENSG00000112182 in H. sapiens (identity = 90%),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'weight>75.0%', 'activating'})","[('Nr3c2', 6.211289871144061), ('Satb1', 5.001948244444754), ('Pou2f1', 0.8689154621779529), ('Zfyve9', 5.122199373604116), ('Phf21a', 1.5281861066433915), ('Epb41l3', 2.346272580207589), ('Yes1', 4.096288546632193), ('Tanc2', 2.104693966298893), ('Mef2a', 2.096997188822593), ('Ccnd2', 1.1360699487974486), ('Bbx', 3.836855170826575), ('Gphn', 1.5211038256456857), ('Hivep2', 2.994153123408938), ('Ptpn4', 1.7687948831715836), ('Bmpr1a', 1.368911262709505), ('4930595D18Rik', 1.791374063849555), ('Clock', 1.0100956902277891), ('Mbnl3', 1.617490172406889), ('Mctp1', 3.4247577232231783), ('Runx2', 8.66834641481399), ('Zc3h12b', 1.0975841904543275), ('Mtmr3', 1.215642219723077), ('Pias1', 1.4731260282437597), ('Sema3d', 1.711604758306467), ('Mpdz', 1.1398632361951642), ('Sh3rf1', 2.217226291631005), ('Tc2n', 1.159512413033394), ('Basp1', 4.210092260615902), ('Tox', 3.824448111528101), ('Peak1', 3.1907422749732475), ('Plxdc2', 0.9883506558970744), ('Syne2', 6.856398348046847), ('Mllt3', 1.5041902052998903), ('Ppp1r9a', 3.672221435547172), ('Zfp521', 4.637239932901337), ('Meg3', 2.5696389883310164), ('Patj', 1.0391900911858505), ('Camk2d', 3.062510190793528), ('Rnf220', 3.439846117268169), ('Large1', 8.411324186779272), ('Ccser1', 6.694363553103356), ('Msi2', 10.473904393365643), ('Sipa1l1', 1.8723368834629424), ('Zfp532', 1.6258779016280025), ('Elovl7', 2.890422227040009), ('Magi1', 0.9769264353815508), ('Rora', 1.28577440777407), ('L3mbtl3', 2.5417523317595214), ('Rnf217', 1.0890389492981922), ('Ncoa1', 2.393848908170856), ('Map3k3', 3.2592168566825603), ('Ikzf1', 5.415035475258319), ('Elmo1', 4.782949078996395), ('Hmgcs1', 1.3192428155483371), ('Glis3', 1.3089962248078486), ('B3glct', 2.3775927701449757), ('Fgf13', 0.9600965105719992), ('Chl1', 0.9579496460861242), ('Lncpint', 1.5041436857353687), ('Slf1', 0.950832657912257), ('Klf8', 1.1142283938772777), ('Mboat2', 1.9582342822141363), ('Eps8', 1.5298191192301291), ('Ldlrad4', 3.728858492279031), ('Arpp21', 1.0480512855667603), ('Gm10125', 1.3687993162497336), ('9530026P05Rik', 8.865652903006357), ('Bend7', 3.8826840374483096), ('Snx13', 1.3958882635205063), ('Zeb1', 0.9555983678698772), ('Magi2', 1.9199883506952449), ('Alcam', 12.44935100729691), ('Sox6', 3.579884005833391), ('Robo2', 1.1806217752850436), ('Crispld1', 1.6629444779792195), ('Tbc1d4', 1.0024646438413054), ('Gpd2', 1.1637439126453162), ('Robo1', 1.006243451132729), ('1700025G04Rik', 1.6455884697198733), ('Shroom4', 1.082427764312775), ('Cd2ap', 11.807675342683796), ('Gm16070', 4.207989439705217), ('Tfrc', 1.42571677451919), ('Frmd6', 2.045439013712232), ('Mecom', 6.628945280267253), ('Trim59', 0.8882610483346773), ('Il6st', 13.84760851050587), ('Elovl6', 1.1964741800908656), ('March3', 3.426562433927009), ('Cdyl2', 1.4657127797836589), ('Lancl3', 6.362010512769617), ('Samd4b', 2.580078958452554), ('Rundc3b', 1.9064543958445064), ('Maml3', 2.979631703766251), ('Stk33', 1.3696041895836075), ('Slc16a12', 1.535537139608279), ('Lsp1', 8.898193116105478), ('2610307P16Rik', 1.187934823653105), ('Adgrg6', 1.5591200571252155), ('Ankrd28', 0.978068373543579), ('Luzp1', 1.1890768311947266), ('Rbpms', 1.937338764017264), ('Setbp1', 2.951787743482715), ('Nfat5', 1.0103398730536788), ('Ccdc171', 1.3135635110583208), ('Cpeb4', 3.683132944362804), ('Adarb1', 3.1266346529306994), ('Fkbp5', 1.9415077905901224), ('Sox4', 3.140601963318521), ('Simc1', 3.63289877347604), ('Tshz3', 2.5368339606935844), ('Socs2', 3.618507117872862), ('Lpp', 3.580553110658228), ('Rap1gds1', 1.5247656828845786), ('Pawr', 1.2475084352429031), ('Sbf2', 1.7318620495424049), ('Rai14', 6.355806145120606), ('Pkib', 2.419267895779458), ('Prkag2', 4.415204518643612), ('Il15', 4.315492374876853), ('Tcf7l2', 1.53089727628114), ('Znrf3', 1.75354325800647), ('Pde3b', 0.9235510498606904), ('Nrg2', 1.1100097655979877), ('Scaf11', 0.943939847763372), ('4933406I18Rik', 4.2133517707215855), ('Arid5b', 1.598103376664575), ('Gm11837', 1.0916626982727204), ('Aff3', 1.6477446644560398), ('Hdac9', 1.5560451585632435), ('Wdr17', 1.829745553727777), ('Plxna4', 0.9500267249112236), ('Trib2', 0.8733951314366991), ('Zfp800', 4.082831960322597), ('Adgrg2', 2.3211020619322524), ('Evi5', 1.2755879646492905), ('Plcl2', 0.8786057537622634), ('Cnrip1', 0.8452992797275757), ('Adam22', 1.4048057227876805), ('Zfp367', 1.7097044550423306), ('Stau2', 4.23967854686286), ('Slc24a2', 2.508458136519965), ('Malt1', 4.610042225095228), ('Ccdc68', 2.680926049347919), ('Ar', 0.9040075319264268), ('Ntn4', 1.2568564743205215), ('Caprin2', 1.7895641015570878), ('Ppp1r16b', 2.447077938710106), ('Rbm47', 7.198166131659186), ('Myo5a', 2.9547960285729045), ('Srgap1', 1.7664242646561383), ('Rel', 2.0617418935439957), ('Nrp1', 3.1615139880772496), ('Nasp', 1.384197035499521), ('Cdk14', 3.175736990265396), ('Gnptab', 2.7610493246010765), ('Zfp827', 0.8892722418200735), ('Map3k1', 4.323065159077726), ('Herc3', 1.215251469465005), ('Tdrd3', 1.4572107800637308), ('Prune2', 0.977623709460126), ('St3gal2', 2.310632195489559), ('Csrp2', 0.9447185566151448), ('Mtus2', 5.254214323296472), ('Nf2', 1.3948538243377715), ('Slc25a21', 1.3213320160440143), ('Ppm1h', 6.983136433413876), ('Pclo', 2.073637587679319), ('St8sia4', 2.315480925199105), ('Camsap2', 1.0029563852317191), ('Palld', 2.877666736662283), ('Ptprk', 2.675736299285287), ('Ror2', 4.3714780684539525), ('Cobll1', 21.518791134792764), ('Cep55', 1.5042359520514166), ('Ppp3cc', 3.682337868035228), ('Dtx4', 0.965021031712973), ('Plcl1', 10.906205163895148), ('Clcn5', 3.798583070188268), ('Cnn3', 8.957212899204583), ('Egfl7', 2.2723534939006385), ('Airn', 2.306560574838844), ('Kcnip3', 7.82201637678924), ('Pou2f2', 1.116295154142288), ('Hgf', 3.915124227368035), ('Dock9', 1.5499100165622184), ('Serpinf1', 1.3061897357833865), ('E2f3', 0.9062480004477516), ('Meis1', 1.1939802110725866), ('Stk39', 2.632469778290344), ('Tcf4', 4.505138487050008), ('Fancc', 1.3298269244894187), ('Stxbp4', 4.61578749918051)]",3852
Bach2,tfdimers__MD00537,0.09592039800995025,3.3439119578019283,1.82229e-07,0.900119,motif similar to tfdimers__MD00162 ('M01721_forward_3_M00983_forward dimer: PUR1 / MAF'; q-value = 1.82e-07) which is annotated for orthologous gene ENSG00000112182 in H. sapiens (identity = 90%),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'weight>75.0%', 'activating'})","[('Yes1', 4.096288546632193), ('Clock', 1.0100956902277891), ('Zfyve9', 5.122199373604116), ('Mef2a', 2.096997188822593), ('Satb1', 5.001948244444754), ('Bbx', 3.836855170826575), ('Nr3c2', 6.211289871144061), ('Hivep2', 2.994153123408938), ('Pou2f1', 0.8689154621779529), ('Mctp1', 3.4247577232231783), ('Mpdz', 1.1398632361951642), ('Ptpn4', 1.7687948831715836), ('Bmpr1a', 1.368911262709505), ('Scaf11', 0.943939847763372), ('Tc2n', 1.159512413033394), ('Gphn', 1.5211038256456857), ('Large1', 8.411324186779272), ('Tanc2', 2.104693966298893), ('Ccser1', 6.694363553103356), ('Epb41l3', 2.346272580207589), ('Camk2d', 3.062510190793528), ('Ikzf1', 5.415035475258319), ('L3mbtl3', 2.5417523317595214), ('Zc3h12b', 1.0975841904543275), ('Mtmr3', 1.215642219723077), ('Phf21a', 1.5281861066433915), ('Trim59', 0.8882610483346773), ('Slf1', 0.950832657912257), ('Sema3d', 1.711604758306467), ('Syne2', 6.856398348046847), ('Bend7', 3.8826840374483096), ('Snx13', 1.3958882635205063), ('Elovl7', 2.890422227040009), ('Patj', 1.0391900911858505), ('Map3k3', 3.2592168566825603), ('Sipa1l1', 1.8723368834629424), ('Peak1', 3.1907422749732475), ('Ppp1r9a', 3.672221435547172), ('Hmgcs1', 1.3192428155483371), ('Gpd2', 1.1637439126453162), ('Arpp21', 1.0480512855667603), ('Sox6', 3.579884005833391), ('Gm10125', 1.3687993162497336), ('Plxdc2', 0.9883506558970744), ('Pias1', 1.4731260282437597), ('Zeb1', 0.9555983678698772), ('Mbnl3', 1.617490172406889), ('Luzp1', 1.1890768311947266), ('Glis3', 1.3089962248078486), ('Ccdc171', 1.3135635110583208), ('Sh3rf1', 2.217226291631005), ('Gm11837', 1.0916626982727204), ('Rnf220', 3.439846117268169), ('Rnf217', 1.0890389492981922), ('Fgf13', 0.9600965105719992), ('Ldlrad4', 3.728858492279031), ('Ankrd28', 0.978068373543579), ('Camsap2', 1.0029563852317191), ('Il6st', 13.84760851050587), ('Rap1gds1', 1.5247656828845786), ('Zfp800', 4.082831960322597), ('Cep55', 1.5042359520514166), ('Tdrd3', 1.4572107800637308), ('Evi5', 1.2755879646492905), ('Runx2', 8.66834641481399), ('Adgrg6', 1.5591200571252155), ('Msi2', 10.473904393365643), ('Basp1', 4.210092260615902), ('Slc16a12', 1.535537139608279), ('Mboat2', 1.9582342822141363), ('Stau2', 4.23967854686286), ('Pawr', 1.2475084352429031), ('Mllt3', 1.5041902052998903), ('Setbp1', 2.951787743482715), ('Zfp521', 4.637239932901337), ('Mecom', 6.628945280267253), ('March3', 3.426562433927009), ('Trib2', 0.8733951314366991), ('Frmd6', 2.045439013712232), ('Cobll1', 21.518791134792764), ('Magi1', 0.9769264353815508), ('Plcl1', 10.906205163895148), ('Chl1', 0.9579496460861242), ('Tox', 3.824448111528101), ('Fkbp5', 1.9415077905901224), ('Eps8', 1.5298191192301291), ('Nfat5', 1.0103398730536788), ('Ncoa1', 2.393848908170856), ('Tfrc', 1.42571677451919), ('1700025G04Rik', 1.6455884697198733), ('Alcam', 12.44935100729691), ('Zfp827', 0.8892722418200735), ('Simc1', 3.63289877347604), ('Clcn5', 3.798583070188268), ('Ppm1h', 6.983136433413876), ('Elmo1', 4.782949078996395), ('Rbpms', 1.937338764017264), ('Magi2', 1.9199883506952449), ('Lancl3', 6.362010512769617), ('Rel', 2.0617418935439957), ('Tbc1d4', 1.0024646438413054), ('Ntn4', 1.2568564743205215), ('Cadps2', 4.419382253216567), ('Sbf2', 1.7318620495424049), ('Robo2', 1.1806217752850436), ('Stk33', 1.3696041895836075), ('Rai14', 6.355806145120606), ('Plxna4', 0.9500267249112236), ('Ccnd2', 1.1360699487974486), ('Rundc3b', 1.9064543958445064), ('Cd2ap', 11.807675342683796), ('Myo5a', 2.9547960285729045), ('Csrp2', 0.9447185566151448), ('9530026P05Rik', 8.865652903006357), ('Elovl6', 1.1964741800908656), ('Rora', 1.28577440777407), ('Mtus2', 5.254214323296472), ('Robo1', 1.006243451132729), ('Zfp367', 1.7097044550423306), ('Adarb1', 3.1266346529306994), ('Malt1', 4.610042225095228), ('Herc3', 1.215251469465005), ('Pag1', 3.1063826216608024), ('Acvr2a', 3.295263590649673), ('Fancc', 1.3298269244894187), ('Stk39', 2.632469778290344), ('Hdac9', 1.5560451585632435), ('Baz1b', 0.919205939552372), ('Wdr17', 1.829745553727777), ('Plcl2', 0.8786057537622634), ('Pclo', 2.073637587679319), ('Atg10', 1.888979754530113), ('Itsn1', 2.3322255610695675), ('Ranbp17', 0.9427016223779692), ('Nf2', 1.3948538243377715), ('Crispld1', 1.6629444779792195), ('Zfp532', 1.6258779016280025), ('Znrf3', 1.75354325800647), ('B3glct', 2.3775927701449757), ('Pkib', 2.419267895779458), ('Shroom4', 1.082427764312775), ('Cpeb4', 3.683132944362804), ('Gm16070', 4.207989439705217), ('Klf8', 1.1142283938772777), ('Pde3b', 0.9235510498606904), ('Ar', 0.9040075319264268), ('Prdm5', 0.8900054073386878), ('Ppp3cc', 3.682337868035228), ('Dtx4', 0.965021031712973), ('St8sia4', 2.315480925199105), ('Maml3', 2.979631703766251), ('Il15', 4.315492374876853), ('Socs2', 3.618507117872862), ('Lncpint', 1.5041436857353687), ('Rbm47', 7.198166131659186), ('Fmnl2', 1.120999375183847), ('Cdk14', 3.175736990265396), ('St3gal2', 2.310632195489559), ('Caprin2', 1.7895641015570878), ('Dpysl3', 0.8404511292170552), ('Lpp', 3.580553110658228), ('Gnptab', 2.7610493246010765), ('Nasp', 1.384197035499521), ('Palld', 2.877666736662283), ('Adam22', 1.4048057227876805), ('Samd4b', 2.580078958452554), ('Tmem117', 0.8358651196909413), ('Taf4b', 0.9848370247844342), ('Dock9', 1.5499100165622184), ('Rgs7bp', 4.068322132356801), ('Fgd4', 2.8779210568599343), ('Ptprk', 2.675736299285287), ('Paip2b', 0.931674440729673), ('Meis1', 1.1939802110725866), ('Prex2', 3.0018362551303035), ('Slc24a2', 2.508458136519965), ('Srgap1', 1.7664242646561383), ('Nab1', 0.9099702656500678), ('Sox4', 3.140601963318521), ('Cnrip1', 0.8452992797275757), ('Tcf7l1', 1.0863958224342356), ('Aff3', 1.6477446644560398), ('Tmem108', 1.135249434105724), ('Eya1', 0.9168092189764808), ('Parp8', 0.9679014832587102), ('Cd24a', 1.7956581531199425), ('Lrrc28', 1.602971507618854), ('Cnn3', 8.957212899204583), ('Mboat1', 2.276817112530477), ('4933406I18Rik', 4.2133517707215855), ('Pkia', 0.9525224680949932), ('Atp10a', 1.815839494493168), ('Map3k1', 4.323065159077726), ('Nrg2', 1.1100097655979877), ('Satb2', 1.0447620752878424), ('Slc25a21', 1.3213320160440143), ('Srebf2', 1.0553482013104147), ('Adgrg2', 2.3211020619322524), ('Shtn1', 3.2421726985886243), ('Atad5', 1.708156624062207), ('Tcf4', 4.505138487050008), ('Lef1', 2.1647539464139145), ('Tcf7l2', 1.53089727628114), ('Slc9a7', 2.3430820409120665), ('Arid5b', 1.598103376664575), ('Nfkbiz', 1.4538615857045163), ('Exo1', 1.9499546120208031), ('Prim2', 1.2028392189846246), ('Pim1', 2.884737523967861), ('Agap1', 3.6602061124704086), ('Tmem163', 0.8488736414149967), ('2610307P16Rik', 1.187934823653105), ('Ezh1', 1.40208085151938), ('Rps6ka5', 0.8771491798197402), ('Ppp1r16b', 2.447077938710106), ('Vopp1', 1.4619735685372457), ('Lars2', 1.5368827981574569), ('Phactr1', 1.4707182466990627), ('Emb', 0.9957880701874764), ('Ubl3', 1.3355887873492864), ('Ror2', 4.3714780684539525), ('Exoc6b', 2.8813274706197807), ('4930595D18Rik', 1.791374063849555), ('Polh', 1.998562324670723), ('Hgf', 3.915124227368035), ('Prune2', 0.977623709460126), ('Lcp1', 1.4915324427814387), ('Tshz3', 2.5368339606935844), ('Fchsd2', 7.693698038700946)]",4723
